"color"	"code"	"value"
"Rubber_Reddish_Brown"	"10070"	"#5F3109"
"Rubber_Dark_Bluish_Grey"	"10072"	"#646464"
"Rubber_Medium_Blue"	"10073"	"#7396C8"
"Rubber_Light_Nougat"	"10078"	"#FFC995"
"Rubber_Medium_Nougat"	"10084"	"#AA7D55"
"Rubber_Medium_Lilac"	"10085"	"#441A91"
"Rubber_Nougat"	"10092"	"#BB805A"
"Rubber_Pearl_Light_Grey"	"10135"	"#A0A0A0"
"Rubber_Metallic_Blue"	"10137"	"#5B7590"
"Rubber_Pearl_Dark_Gold"	"10147"	"#83724F"
"Rubber_Pearl_Dark_Grey"	"10148"	"#484D48"
"Rubber_Pearl_Very_Light_Grey"	"10150"	"#989B99"
"Rubber_Very_Light_Bluish_Grey"	"10151"	"#C8C8C8"
"Rubber_Reddish_Gold"	"10189"	"#AC8247"
"Rubber_Bright_Light_Orange"	"10191"	"#FCAC00"
"Rubber_Lemon_Metallic"	"10200"	"#708224"
"Rubber_Bright_Light_Blue"	"10212"	"#9DC3F7"
"Rubber_Bright_Light_Yellow"	"10226"	"#FFEC6C"
"Rubber_Dark_Green"	"10288"	"#00451A"
"Rubber_Pearl_Gold"	"10297"	"#AA7F2E"
"Rubber_Dark_Brown"	"10308"	"#352100"
"Rubber_Dark_Red"	"10320"	"#720012"
"Rubber_Dark_Azure"	"10321"	"#469BC3"
"Rubber_Medium_Azure"	"10322"	"#68C3E2"
"Rubber_Light_Aqua"	"10323"	"#D3F2EA"
"Rubber_Yellowish_Green"	"10326"	"#E2F99A"
"Rubber_Olive_Green"	"10330"	"#77774E"
"Rubber_Sand_Green"	"10378"	"#708E7C"
"Rubber_Dark_Orange"	"10484"	"#91501C"
"Rubber_Trans_Yellow"	"66"	"#F5CD2F"
"Rubber_Trans_Clear"	"67"	"#FCFCFC"
"Rubber_Trans_Bright_Green"	"10035"	"#56E646"
"Rubber_Trans_Red"	"10036"	"#C91A09"
"Rubber_Trans_Light_Blue"	"10043"	"#AEE9EF"
"Rubber_Trans_Orange"	"10057"	"#F08F1C"
"Rubber_Milky_White"	"10079"	"#EEEEEE"
"Canvas_Black"	"20000"	"#1B2A34"
"Canvas_Blue"	"20001"	"#1E5AA8"
"Canvas_Green"	"20002"	"#00852B"
"Canvas_Red"	"20004"	"#B40000"
"Canvas_Brown"	"20006"	"#543324"
"Canvas_Light_Grey"	"20007"	"#8A928D"
"Canvas_Bright_Green"	"20010"	"#58AB41"
"Canvas_Yellow"	"20014"	"#FAC80A"
"Canvas_White"	"20015"	"#F4F4F4"
"Canvas_Tan"	"20019"	"#D7BA8C"
"Canvas_Purple"	"20022"	"#671F81"
"Canvas_Dark_Tan"	"20028"	"#897D62"
"Canvas_Reddish_Brown"	"20070"	"#5F3109"
"Canvas_Light_Bluish_Grey"	"20071"	"#969696"
"Canvas_Dark_Bluish_Grey"	"20072"	"#646464"
"Canvas_Light_Brown"	"20086"	"#7B5D41"
"Canvas_Dark_Green"	"20288"	"#00451A"
"Canvas_Dark_Red"	"20320"	"#720012"
"Canvas_Sand_Red"	"20335"	"#88605E"
"Canvas_Cream"	"20500"	"#F8F3E4"
"Main_Colour"	"16"	"#FFFF80"
"Edge_Colour"	"24"	"#7F7F7F"
"Magnet"	"493"	"#656761"
"Electric_Contact_Alloy"	"494"	"#D0D0D0"
"Electric_Contact_Copper"	"495"	"#AE7A59"
"Trans_Sticker"	"10047"	"#FFFFFF"
