alias	categories
18826p01.dat	Minifig Accessory
18835.dat	Minifig Headwear
18835p01.dat	Minifig Headwear
18835p02.dat	Minifig Headwear
18836.dat	Minifig Accessory
18836p40.dat	Minifig Accessory
18836p41.dat	Minifig Accessory
18836p42.dat	Minifig Accessory
18836pq0.dat	Minifig Accessory
18854.dat	Figure Accessory
18857.dat	Door
18895.dat	Vehicle
18895c01.dat	Vehicle
18895p01.dat	Vehicle
18895p02.dat	Vehicle
18896.dat	Vehicle
18920.dat	Minifig Accessory
18927.dat	Minifig Headwear
18945d01.dat	Sticker Shortcut
18945d02.dat	Sticker Shortcut
18945d03.dat	Sticker Shortcut
18945d04.dat	Sticker Shortcut
18972dy0.dat	Sticker Shortcut
18972dy1.dat	Sticker Shortcut
18973p06d01.dat	Sticker Shortcut
18986.dat	Minifig Neckwear
19118.dat	Figure Accessory
19141.dat	Minifig Accessory
191764.dat	Sheet Cardboard
191765.dat	Sheet Cardboard
191766.dat	Sheet Cardboard
191767.dat	Sheet Cardboard
19179.dat	Minifig Accessory
19201.dat	Minifig Headwear
19201p01.dat	Minifig Headwear
19203.dat	Minifig Headwear
19203p01.dat	Minifig Headwear
19203p02.dat	Minifig Headwear
19204.dat	Minifig Headwear
19204p01.dat	Minifig Headwear
19206.dat	Minifig Headwear
19206p01.dat	Minifig Headwear
19206p02.dat	Minifig Headwear
19206p03.dat	Minifig Headwear
19220.dat	Minifig Accessory
19730.dat	Minifig Headwear
19916.dat	Minifig Headwear
19917.dat	Minifig Neckwear
20193.dat	Sheet Plastic
2038.dat	Roadsign
2038d01.dat	Sticker Shortcut
2038d02.dat	Sticker Shortcut
20398.dat	Minifig Accessory
20398p01.dat	Minifig Accessory
2040.dat	Fence
20401.dat	Sphere
2041.dat	Figure Accessory
2044.dat	Figure Accessory
2044c01.dat	Figure Accessory
2045.dat	Figure Accessory
20460.dat	Obsolete
20460p00.dat	Obsolete
20460p01.dat	Obsolete
20460p02.dat	Obsolete
20460p03.dat	Obsolete
20460p04.dat	Obsolete
20460p05.dat	Obsolete
20460p06.dat	Obsolete
20460p07.dat	Obsolete
20460p08.dat	Obsolete
20460p09.dat	Obsolete
20460pckc.dat	Obsolete
20460pd87.dat	Obsolete
20460pd92.dat	Obsolete
20460px0.dat	Obsolete
20460px1.dat	Obsolete
20461.dat	Obsolete
20461p00.dat	Obsolete
20461p01.dat	Obsolete
20461p02.dat	Obsolete
20461p03.dat	Obsolete
20461p04.dat	Obsolete
20461p05.dat	Obsolete
20461p06.dat	Obsolete
20461p07.dat	Obsolete
20461p08.dat	Obsolete
20461p09.dat	Obsolete
20461pckc.dat	Obsolete
20461pd87.dat	Obsolete
20461pd92.dat	Obsolete
20461px0.dat	Obsolete
20461px1.dat	Obsolete
2048.dat	Slope
2049.dat	Window
20546.dat	Minifig Accessory
20546p01.dat	Minifig Accessory
20546p02.dat	Minifig Accessory
20546p03.dat	Minifig Accessory
20551.dat	Sheet Fabric
20551c01.dat	Sheet Fabric
20551p01.dat	Sheet Fabric
20551p01c01.dat	Sheet Fabric
20592.dat	Minifig Headwear
20592p01.dat	Minifig Headwear
20592p02.dat	Minifig Headwear
20592p03.dat	Minifig Headwear
20595.dat	Minifig Headwear
20596.dat	Minifig Headwear
20596p01.dat	Minifig Headwear
20596p02.dat	Minifig Headwear
20596p03.dat	Minifig Headwear
20596p04.dat	Minifig Headwear
20597.dat	Minifig Headwear
20612.dat	Minifig Accessory
20695.dat	Minifig Headwear
20695p01.dat	Minifig Headwear
20877.dat	Minifig Headwear
20904.dat	Minifig Headwear
20904ps0.dat	Minifig Headwear
20904ps1.dat	Minifig Headwear
20905ps0.dat	Minifig Headwear
20905ps1.dat	Minifig Headwear
20950.dat	Minifig Headwear
21019.dat	Obsolete
21019p00.dat	Obsolete
21019p01.dat	Obsolete
21019p02.dat	Obsolete
21019p03.dat	Obsolete
21019p04.dat	Obsolete
21019p05.dat	Obsolete
21019p06.dat	Obsolete
21019p07.dat	Obsolete
21019p08.dat	Obsolete
21019p09.dat	Obsolete
21019pckc.dat	Obsolete
21019pd87.dat	Obsolete
21019pd92.dat	Obsolete
21019px0.dat	Obsolete
21019px1.dat	Obsolete
21100.dat	Minifig Accessory
21268.dat	Minifig Headwear
21269.dat	Minifig Headwear
21271.dat	Minifig Footwear
21271p01.dat	Minifig Footwear
2131.dat	Container
2142.dat	Animal
21459.dat	Minifig Accessory
2146.dat	Figure Accessory
2146c01.dat	Figure Accessory
21490.dat	Sheet Fabric
21490c01.dat	Minifig Neckwear
21490c02.dat	Minifig Neckwear
21700.dat	Minifig Accessory
21700p01.dat	Minifig Accessory
21709.dat	Obsolete
21709a.dat	Vehicle
21778.dat	Minifig Headwear
21787.dat	Minifig Headwear
21788.dat	Minifig Headwear
21996.dat	Crane
2205.dat	Door
2206.dat	Window
2207.dat	Support
2207c01.dat	Support
2207p01.dat	Support
2207p01c01.dat	Support
2208.dat	Door
2209.dat	Door
2210.dat	Support
2210c01.dat	Support
22119.dat	Sphere
2214.dat	Fence
22385d01.dat	Sticker Shortcut
22402.dat	Minifig Neckwear
22407.dat	Minifig Accessory
22408.dat	Minifig Accessory
22409.dat	Minifig Accessory
22411.dat	Minifig Headwear
22667.dat	Minifig Accessory
22678.dat	Hose
22706.dat	Minifig Accessory
22881.dat	Brick
22900.dat	Hose
2291.dat	Brick
22921.dat	Minifig Accessory
2294.dat	Door
2296.dat	Baseplate
22969.dat	Obsolete
22969c01.dat	Obsolete
22969c02.dat	Obsolete
2296p01.dat	Baseplate
2297.dat	Plant
22977.dat	Technic
2298.dat	Plant
2300.dat	Brick
2301b.dat	Arch
2302b.dat	Brick
23065.dat	Obsolete
2312.dat	Vehicle
2313a.dat	Wheel
2313b.dat	Wheel
23167.dat	Obsolete
23186.dat	Minifig Headwear
23306.dat	Minifig Accessory
2332.dat	Obsolete
2332a.dat	Door
2332ac01.dat	Door
2335d01.dat	Sticker Shortcut
2335d02.dat	Sticker Shortcut
2335d04.dat	Sticker Shortcut
2335d05.dat	Sticker Shortcut
2335dx0.dat	Sticker Shortcut
2338.dat	Minifig Headwear
23397.dat	Hose
2340d01.dat	Sticker Shortcut
2340d02.dat	Sticker Shortcut
2340d03.dat	Sticker Shortcut
2340d04.dat	Sticker Shortcut
2340d05.dat	Sticker Shortcut
2340d06.dat	Sticker Shortcut
2340d0b.dat	Sticker Shortcut
2340d0c.dat	Sticker Shortcut
2340d50.dat	Sticker Shortcut
2340d51.dat	Sticker Shortcut
2340d52.dat	Sticker Shortcut
2340d53.dat	Sticker Shortcut
2341d01.dat	Sticker Shortcut
2341d02.dat	Sticker Shortcut
23421.dat	Bar
23422.dat	Figure Accessory
2343.dat	Minifig Accessory
2347.dat	Vehicle
2350cd01.dat	Sticker Shortcut
2362ad01.dat	Sticker Shortcut
2362ad02.dat	Sticker Shortcut
2362ad03.dat	Sticker Shortcut
2362bd01.dat	Sticker Shortcut
2372c01d01.dat	Sticker Shortcut
23860.dat	Minifig Accessory
23922.dat	Minifig Accessory
23922c01.dat	Minifig Accessory
23922c02.dat	Minifig Accessory
23945.dat	Minifig Accessory
23945p01.dat	Minifig Accessory
23986.dat	Minifig Accessory
2399d01.dat	Sticker Shortcut
2399dt0.dat	Sticker Shortcut
24073.dat	Minifig Headwear
24076.dat	Minifig Headwear
24076p01.dat	Minifig Headwear
24076p02.dat	Minifig Headwear
24077.dat	Minifig Accessory
24085.dat	Minifig Accessory
24087.dat	Minifig Hipwear
24087p01.dat	Minifig Hipwear
24087p02.dat	Minifig Hipwear
24088.dat	Minifig Headwear
24093.dat	Minifig Accessory
24093d01.dat	Sticker Shortcut
24093d02.dat	Sticker Shortcut
24093p01.dat	Minifig Accessory
24093p02.dat	Minifig Accessory
24093p03.dat	Minifig Accessory
24093p04.dat	Minifig Accessory
2409d01.dat	Sticker Shortcut
24108.dat	Minifig Accessory
24108pe1.dat	Minifig Accessory
24108pe2.dat	Minifig Accessory
24108pe3.dat	Minifig Accessory
